Name_CN,Name_EN,year_range,Area_Year_Book,Area_pixel,Area_pixel_km2
烟台市,Yantai,2005_2007,179.0,1152778.4274509803,1037.5005847058821
烟台市,Yantai,2008_2010,235.0,1371287.9411764704,1234.1591470588235
烟台市,Yantai,2011_2013,273.0,1534121.1372549022,1380.709023529412
烟台市,Yantai,2014_2016,324.0,1692920.925490196,1523.6288329411764
烟台市,Yantai,2017_2019,586.0,2094850.71372549,1885.365642352941
济宁市,Jining,1993_1995,25.0,1216247.1764705884,1094.6224588235295
济宁市,Jining,1996_1998,26.0,1415956.8509803922,1274.3611658823527
济宁市,Jining,1999_2001,36.0,1477757.380392157,1329.9816423529412
济宁市,Jining,2002_2004,47.0,1699981.5647058825,1529.9834082352943
济宁市,Jining,2005_2007,58.0,1837600.2313725483,1653.8402082352934
济宁市,Jining,2008_2010,89.0,2038634.7254901957,1834.7712529411758
济宁市,Jining,2011_2013,125.0,2359045.349019608,2123.140814117647
济宁市,Jining,2014_2016,194.0,2829927.043137255,2546.9343388235297
济宁市,Jining,2017_2019,240.0,3040562.674509804,2736.5064070588237
泰安市,Tai'an,1993_1995,22.0,772046.2470588236,694.8416223529413
泰安市,Tai'an,1996_1998,60.0,909387.0039215687,818.4483035294119
泰安市,Tai'an,1999_2001,41.0,964571.0509803923,868.113945882353
泰安市,Tai'an,2002_2004,66.0,1095278.5882352942,985.7507294117647
泰安市,Tai'an,2005_2007,97.0,1239725.0588235296,1115.7525529411766
泰安市,Tai'an,2008_2010,104.0,1435940.1921568632,1292.346172941177
泰安市,Tai'an,2011_2013,114.0,1680533.611764706,1512.4802505882355
泰安市,Tai'an,2014_2016,131.0,2101201.4901960786,1891.0813411764707
泰安市,Tai'an,2017_2019,158.0,2299454.188235294,2069.508769411764
威海市,Weihai,1993_1995,39.0,175086.10980392157,157.57749882352942
威海市,Weihai,1996_1998,43.0,213574.3019607843,192.21687176470587
威海市,Weihai,1999_2001,44.0,222087.0156862745,199.87831411764705
威海市,Weihai,2002_2004,51.0,271929.5921568628,244.7366329411765
威海市,Weihai,2005_2007,92.0,470226.5960784313,423.20393647058813
威海市,Weihai,2008_2010,129.0,537222.776470588,483.5004988235292
威海市,Weihai,2011_2013,138.0,638884.6470588235,574.9961823529411
威海市,Weihai,2014_2016,193.0,764361.1647058824,687.9250482352942
威海市,Weihai,2017_2019,198.0,981259.1254901959,883.1332129411762
日照市,Rizhao,1993_1995,15.0,297574.7960784314,267.81731647058825
日照市,Rizhao,1996_1998,34.0,337495.25098039216,303.745725882353
日照市,Rizhao,1999_2001,35.0,412399.2431372549,371.15931882352936
日照市,Rizhao,2002_2004,50.0,503300.76470588235,452.9706882352941
日照市,Rizhao,2005_2007,61.0,570752.9882352941,513.6776894117646
日照市,Rizhao,2008_2010,76.0,703142.7019607843,632.8284317647059
日照市,Rizhao,2011_2013,96.0,819578.4784313724,737.6206305882353
日照市,Rizhao,2014_2016,101.0,992168.8156862747,892.9519341176472
日照市,Rizhao,2017_2019,111.0,1247338.8666666665,1122.6049799999998
莱芜市,Laiwu,1993_1995,12.0,131098.63529411764,117.98877176470587
莱芜市,Laiwu,1996_1998,19.0,161273.15294117646,145.14583764705884
莱芜市,Laiwu,1999_2001,25.0,174500.23921568628,157.05021529411763
莱芜市,Laiwu,2002_2004,52.0,251898.862745098,226.7089764705882
莱芜市,Laiwu,2005_2007,55.0,291292.26274509804,262.16303647058817
莱芜市,Laiwu,2008_2010,57.0,388512.0588235294,349.6608529411764
莱芜市,Laiwu,2011_2013,81.0,440055.0941176471,396.04958470588235
莱芜市,Laiwu,2014_2016,120.0,622858.3411764706,560.5725070588236
莱芜市,Laiwu,2017_2019,120.0,677664.9490196077,609.898454117647
临沂市,Linyi,1993_1995,21.0,1190530.611764706,1071.4775505882355
临沂市,Linyi,1996_1998,35.0,1374928.9725490194,1237.4360752941175
临沂市,Linyi,1999_2001,55.0,1744488.011764706,1570.0392105882356
临沂市,Linyi,2002_2004,108.0,2001769.2705882352,1801.592343529412
临沂市,Linyi,2005_2007,116.0,2339515.992156863,2105.5643929411767
临沂市,Linyi,2008_2010,152.0,2845222.68627451,2560.7004176470587
临沂市,Linyi,2011_2013,186.0,3210967.9294117657,2889.8711364705887
临沂市,Linyi,2014_2016,202.0,3696185.203921569,3326.566683529412
临沂市,Linyi,2017_2019,227.0,4278845.6823529415,3850.961114117647
德州市,Dezhou,1993_1995,30.0,1336796.1686274512,1203.116551764706
德州市,Dezhou,1996_1998,31.0,1410144.7647058824,1269.1302882352943
德州市,Dezhou,1999_2001,33.0,1469006.5921568628,1322.1059329411764
德州市,Dezhou,2002_2004,38.0,1561855.247058824,1405.6697223529416
德州市,Dezhou,2005_2007,44.0,1701640.2941176472,1531.4762647058826
德州市,Dezhou,2008_2010,41.0,1858532.1725490193,1672.6789552941175
德州市,Dezhou,2011_2013,124.0,2044537.8156862743,1840.084034117647
德州市,Dezhou,2014_2016,149.0,2303079.121568627,2072.771209411764
德州市,Dezhou,2017_2019,160.0,2430438.898039216,2187.395008235295
聊城市,Liaocheng,1999_2001,31.0,1419661.1647058823,1277.6950482352943
聊城市,Liaocheng,2002_2004,50.0,1610813.3843137254,1449.7320458823528
聊城市,Liaocheng,2005_2007,59.0,1767592.4392156864,1590.8331952941178
聊城市,Liaocheng,2008_2010,65.0,1916211.1960784313,1724.5900764705882
聊城市,Liaocheng,2011_2013,70.0,2228119.552941176,2005.3075976470586
