year,seed,band,importance
1996_1998,2,DEM,93.58438228901667
1996_1998,2,Mean_EVI,92.27399064501034
1996_1998,2,Mean_NDBI,82.2625835673288
1996_1998,2,NDBI_cos_3,99.38799028570276
1996_1998,2,NDBI_sin_2,89.51936906115851
1996_1998,2,NDBI_sin_3,120.55254634776446
1996_1998,2,SLOPE,104.36611959950297
1996_1998,2,pres,111.70712740290327
1996_1998,2,random,85.74129898698499
1996_1998,2,EVI_cos_3,111.69516998656005
1996_1998,2,lrad,128.21795333879868
1996_1998,2,B1,81.87169504619273
1996_1998,2,EVI_sin_1,97.83438632152406
1996_1998,2,NDVI_cos_2,95.67007617319828
1996_1998,2,NDVI_sin_2,111.27772432916012
1996_1998,3,B7,97.23900437711812
1996_1998,3,DEM,102.3889878840591
1996_1998,3,Mean_EVI,91.3765140860018
1996_1998,3,Mean_NDBI,86.6947866716073
1996_1998,3,NDBI_cos_3,92.11048384850503
1996_1998,3,NDBI_sin_2,104.50927143918443
1996_1998,3,NDBI_sin_3,104.9803465689284
1996_1998,3,SLOPE,107.4605548808925
1996_1998,3,pres,104.91432997884833
1996_1998,3,random,98.46136069857063
1996_1998,3,EVI_cos_3,102.3491864953182
1996_1998,3,lrad,125.67259565933416
1996_1998,3,B1,74.50227552432588
1996_1998,3,EVI_sin_1,105.19387081766749
1996_1998,3,NDVI_cos_2,96.83218336672729
1996_1998,3,NDVI_sin_2,111.42757702888025
1996_1998,4,B7,97.78769253893074
1996_1998,4,DEM,100.86338835037566
1996_1998,4,Mean_EVI,99.39634238013282
1996_1998,4,Mean_NDBI,86.89107519216797
1996_1998,4,NDBI_cos_3,93.3425325467457
1996_1998,4,NDBI_sin_2,104.04712595285048
1996_1998,4,NDBI_sin_3,113.30354713468972
1996_1998,4,SLOPE,96.43991980443988
1996_1998,4,pres,101.60320374776771
1996_1998,4,random,82.72712941613729
1996_1998,4,EVI_cos_3,109.1746462855137
1996_1998,4,lrad,125.13535988299165
1996_1998,4,B1,79.3666802587388
1996_1998,4,EVI_sin_1,102.62761688647853
1996_1998,4,NDVI_cos_2,101.42616026378049
1996_1998,4,NDVI_sin_2,107.73155040700411
1996_1998,5,B7,104.1548037898484
1996_1998,5,DEM,93.52961269823973
1996_1998,5,Mean_EVI,98.93403002414462
1996_1998,5,Mean_NDBI,84.53175405313064
1996_1998,5,NDBI_cos_3,105.44846303809173
1996_1998,5,NDBI_sin_2,88.63586074147608
1996_1998,5,NDBI_sin_3,105.16796802001015
1996_1998,5,SLOPE,101.34796756291799
1996_1998,5,pres,95.02660648532533
1996_1998,5,random,100.24449551631808
1996_1998,5,EVI_cos_3,107.78138380432866
1996_1998,5,lrad,128.7927314883583
1996_1998,5,B1,73.47624650807418
1996_1998,5,EVI_sin_1,110.29525150867634
1996_1998,5,NDVI_cos_2,84.02420955930846
1996_1998,5,NDVI_sin_2,104.74304611736862
1996_1998,6,B7,107.78201046534514
1996_1998,6,DEM,102.27041192392649
1996_1998,6,Mean_EVI,93.60798347833529
1996_1998,6,Mean_NDBI,88.0485831893707
1996_1998,6,NDBI_cos_3,99.91389860217834
1996_1998,6,NDBI_sin_2,111.26499085483141
1996_1998,6,NDBI_sin_3,115.32724437808996
1996_1998,6,SLOPE,95.8078273932929
1996_1998,6,pres,90.65937025749608
1996_1998,6,random,92.15345033371995
1996_1998,6,EVI_cos_3,103.10654290511656
1996_1998,6,lrad,122.96133684390094
1996_1998,6,B1,75.11777542070935
1996_1998,6,EVI_sin_1,105.12790469747318
1996_1998,6,NDVI_cos_2,94.66350039898386
1996_1998,6,NDVI_sin_2,101.47761883143265
1996_1998,7,B7,106.26385356417998
1996_1998,7,DEM,96.14839858194792
1996_1998,7,Mean_EVI,84.8046872984051
1996_1998,7,Mean_NDBI,94.48213271788579
1996_1998,7,NDBI_cos_3,101.55865570511803
1996_1998,7,NDBI_sin_2,96.77163208301621
1996_1998,7,NDBI_sin_3,101.79725165322549
1996_1998,7,SLOPE,100.2284080523028
1996_1998,7,pres,96.65949875017
1996_1998,7,random,86.91000363556871
1996_1998,7,EVI_cos_3,122.77069375836186
1996_1998,7,lrad,129.44904105073158
1996_1998,7,B1,72.02608992689804
1996_1998,7,EVI_sin_1,106.59597137050282
1996_1998,7,NDVI_cos_2,92.05575916399738
1996_1998,7,NDVI_sin_2,108.31691956313216
1996_1998,8,B7,105.70896217896053
1996_1998,8,DEM,91.26997801249567
1996_1998,8,Mean_EVI,93.36621532781722
1996_1998,8,Mean_NDBI,91.39622943470128
1996_1998,8,NDBI_cos_3,113.90220744276571
1996_1998,8,NDBI_sin_2,104.2037062099565
1996_1998,8,NDBI_sin_3,111.72088712521105
1996_1998,8,SLOPE,109.78284439536804
1996_1998,8,pres,105.52338473729047
1996_1998,8,random,90.93664739846827
1996_1998,8,EVI_cos_3,105.98709558422996
1996_1998,8,lrad,125.7491987417489
1996_1998,8,B1,81.27155662905986
1996_1998,8,EVI_sin_1,112.10577121814501
1996_1998,8,NDVI_cos_2,101.09177174884287
1996_1998,8,NDVI_sin_2,101.41942411169467
1996_1998,9,B7,95.0995138215822
1996_1998,9,DEM,104.89724419722192
1996_1998,9,Mean_EVI,85.93584563791617
1996_1998,9,Mean_NDBI,80.5695200946812
1996_1998,9,NDBI_cos_3,101.18989746889298
1996_1998,9,NDBI_sin_2,93.69705625056835
1996_1998,9,NDBI_sin_3,92.27862258087566
1996_1998,9,SLOPE,108.55711875930103
1996_1998,9,pres,102.28104626736197
1996_1998,9,random,87.11284160022117
1996_1998,9,EVI_cos_3,106.17297818954654
1996_1998,9,lrad,117.38940886109405
1996_1998,9,B1,71.45005017543868
1996_1998,9,EVI_sin_1,97.83377197214605
1996_1998,9,NDVI_cos_2,92.81862517239813
1996_1998,9,NDVI_sin_2,108.14776551551978
1999_2001,0,B7,103.19150426948937
1999_2001,0,DEM,130.61485382167672
1999_2001,0,EVI_sin_2,133.48814312221725
1999_2001,0,Mean_EVI,103.05006008426507
1999_2001,0,Mean_NDBI,90.34021935877851
1999_2001,0,NDBI_cos_3,134.97028592489508
1999_2001,0,SLOPE,127.9892097640701
1999_2001,0,random,109.84816770705824
1999_2001,0,shum,129.856071393627
1999_2001,0,wind,119.81180304395598
1999_2001,0,B4,109.69068909009071
1999_2001,0,EVI_sin_3,118.22178987981619
1999_2001,0,lrad,135.62189931386087
1999_2001,0,B1,82.02926581157962
1999_2001,0,B5,104.11462732312707
1999_2001,0,Mean_NDVI,81.14171416743035
1999_2001,1,B7,96.44614289365626
1999_2001,1,DEM,126.56001363159967
1999_2001,1,EVI_sin_2,125.23909305436375
1999_2001,1,Mean_EVI,102.01051798315427
1999_2001,1,Mean_NDBI,95.177179406739
1999_2001,1,NDBI_cos_3,122.5814489306921
1999_2001,1,SLOPE,110.32655031568626
1999_2001,1,random,100.55503092700876
1999_2001,1,shum,122.87907710011824
1999_2001,1,wind,114.20214401673829
1999_2001,1,B4,90.51903385146423
1999_2001,1,EVI_sin_3,123.03829747475629
1999_2001,1,lrad,126.00903811191837
1999_2001,1,B1,96.71193499325923
1999_2001,1,B5,96.66597794621609
1999_2001,1,Mean_NDVI,91.64110845532467
1999_2001,2,B7,112.9928909289196
1999_2001,2,DEM,122.64385307991543
