Type,Year,Combo,Percent,Tree,Overall_ACC,Precisioin_non_built,Precisioin_built,Recall_non_built,Recall_built
Visaull,2011_2013,Fourier_Mean,100,40,90.46,90.95,84.55,98.59,43.97
Invarient,2011_2013,Fourier_Mean,100,40,90.05,88.86,91.28,91.37,88.75
Visaull,2011_2013,Fourier_Mean,100,50,90.59,91.12,84.52,98.55,45.09
Invarient,2011_2013,Fourier_Mean,100,50,89.99,88.79,91.24,91.33,88.67
Visaull,2011_2013,Fourier_Mean,100,60,90.69,91.24,84.43,98.52,45.98
Invarient,2011_2013,Fourier_Mean,100,60,90.09,88.84,91.39,91.49,88.71
Visaull,2011_2013,Fourier_Mean,100,70,90.79,91.34,84.62,98.52,46.65
Invarient,2011_2013,Fourier_Mean,100,70,90.05,89.04,91.09,91.13,88.98
Visaull,2011_2013,Fourier_Mean,100,80,90.86,91.41,84.74,98.52,47.1
Invarient,2011_2013,Fourier_Mean,100,80,90.07,89.04,91.12,91.17,88.98
Visaull,2011_2013,Fourier_Mean,100,90,90.86,91.38,85.02,98.55,46.88
Invarient,2011_2013,Fourier_Mean,100,90,90.11,89.14,91.1,91.13,89.1
Visaull,2011_2013,Fourier_Mean,100,100,90.79,91.31,84.9,98.55,46.43
Invarient,2011_2013,Fourier_Mean,100,100,90.11,89.11,91.13,91.17,89.06
Visaull,2011_2013,Fourier_Mean,100,110,90.72,91.22,85.06,98.59,45.76
Invarient,2011_2013,Fourier_Mean,100,110,90.13,89.14,91.13,91.17,89.1
Visaull,2011_2013,Fourier_Mean,100,120,90.86,91.35,85.31,98.59,46.65
Invarient,2011_2013,Fourier_Mean,100,120,90.07,89.01,91.16,91.21,88.94
Visaull,2011_2013,Landsat_Fourier_Mean,100,1,84.44,91.12,47.84,90.55,49.55
Invarient,2011_2013,Landsat_Fourier_Mean,100,1,82.49,81.99,82.99,82.86,82.13
Visaull,2011_2013,Landsat_Fourier_Mean,100,10,90.76,91.46,83.2,98.32,47.54
Invarient,2011_2013,Landsat_Fourier_Mean,100,10,89.6,87.35,92.08,92.39,86.86
Visaull,2011_2013,Landsat_Fourier_Mean,100,20,91.02,91.73,83.71,98.32,49.33
Invarient,2011_2013,Landsat_Fourier_Mean,100,20,90.3,88.5,92.23,92.43,88.21
Visaull,2011_2013,Landsat_Fourier_Mean,100,30,91.16,91.86,83.96,98.32,50.22
Invarient,2011_2013,Landsat_Fourier_Mean,100,30,90.73,89.04,92.53,92.7,88.79
Visaull,2011_2013,Landsat_Fourier_Mean,100,40,91.19,91.8,84.79,98.44,49.78
Invarient,2011_2013,Landsat_Fourier_Mean,100,40,90.77,89.31,92.3,92.43,89.14
Visaull,2011_2013,Landsat_Fourier_Mean,100,50,91.22,91.93,84.07,98.32,50.67
Invarient,2011_2013,Landsat_Fourier_Mean,100,50,90.94,89.8,92.13,92.19,89.71
Visaull,2011_2013,Landsat_Fourier_Mean,100,60,91.22,91.93,84.07,98.32,50.67
Invarient,2011_2013,Landsat_Fourier_Mean,100,60,91.0,89.96,92.07,92.11,89.91
Visaull,2011_2013,Landsat_Fourier_Mean,100,70,91.16,91.95,83.21,98.2,50.89
Invarient,2011_2013,Landsat_Fourier_Mean,100,70,90.88,89.94,91.85,91.88,89.91
Visaull,2011_2013,Landsat_Fourier_Mean,100,80,91.42,92.07,84.93,98.4,51.56
Invarient,2011_2013,Landsat_Fourier_Mean,100,80,90.98,90.08,91.9,91.92,90.06
Visaull,2011_2013,Landsat_Fourier_Mean,100,90,91.36,92.0,84.81,98.4,51.12
Invarient,2011_2013,Landsat_Fourier_Mean,100,90,90.94,89.95,91.96,92.0,89.91
Visaull,2011_2013,Landsat_Fourier_Mean,100,100,91.29,91.96,84.44,98.36,50.89
Invarient,2011_2013,Landsat_Fourier_Mean,100,100,91.06,90.07,92.08,92.11,90.02
Visaull,2011_2013,Landsat_Fourier_Mean,100,110,91.32,91.97,84.76,98.4,50.89
Invarient,2011_2013,Landsat_Fourier_Mean,100,110,91.06,90.16,91.98,92.0,90.14
Visaull,2011_2013,Landsat_Fourier_Mean,100,120,91.32,92.0,84.5,98.36,51.12
Invarient,2011_2013,Landsat_Fourier_Mean,100,120,91.14,90.17,92.13,92.15,90.14
Visaull,2008_2010,Landsat,100,1,88.28,91.32,44.9,95.95,26.59
Invarient,2008_2010,Landsat,100,1,74.54,74.37,74.69,73.8,75.25
