index,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err,year
11,"(0, 6, 7, 11, 16, 17, 22, 24, 25, 32, 36)",[0.93640461 0.94488978 0.93286573 0.94288577],0.939261472368874,"('B1', 'B7', 'DEM', 'EVI_cos_3', 'Mean_EVI', 'Mean_NDBI', 'NDBI_cos_3', 'NDBI_sin_2', 'NDBI_sin_3', 'NDVI_sin_2', 'lrad')",0.007765802174392173,0.004844599269185929,0.0027970306921803606,1996_1998
12,"(0, 6, 7, 11, 16, 17, 22, 24, 25, 32, 35, 36)",[0.94091137 0.94539078 0.93537074 0.93587174],0.9393861583959104,"('B1', 'B7', 'DEM', 'EVI_cos_3', 'Mean_EVI', 'Mean_NDBI', 'NDBI_cos_3', 'NDBI_sin_2', 'NDBI_sin_3', 'NDVI_sin_2', 'SLOPE', 'lrad')",0.006553451824457202,0.004088289555469591,0.0023603750753755036,1996_1998
13,"(0, 6, 7, 11, 16, 17, 22, 24, 25, 29, 32, 35, 36)",[0.93790686 0.9504008  0.94038076 0.94188377],0.9426430477379395,"('B1', 'B7', 'DEM', 'EVI_cos_3', 'Mean_EVI', 'Mean_NDBI', 'NDBI_cos_3', 'NDBI_sin_2', 'NDBI_sin_3', 'NDVI_cos_2', 'NDVI_sin_2', 'SLOPE', 'lrad')",0.007531823257788044,0.004698634427057563,0.002712757851285327,1996_1998
14,"(0, 6, 7, 11, 16, 17, 22, 24, 25, 29, 32, 35, 36, 38)",[0.94391587 0.9493988  0.93787575 0.94488978],0.9440200506170078,"('B1', 'B7', 'DEM', 'EVI_cos_3', 'Mean_EVI', 'Mean_NDBI', 'NDBI_cos_3', 'NDBI_sin_2', 'NDBI_sin_3', 'NDVI_cos_2', 'NDVI_sin_2', 'SLOPE', 'lrad', 'pres')",0.006582508295517726,0.004106416074186371,0.0023708404258361076,1996_1998
15,"(0, 6, 7, 11, 12, 16, 17, 22, 24, 25, 29, 32, 35, 36, 38)",[0.94091137 0.94789579 0.93837675 0.94839679],0.9438951764319826,"('B1', 'B7', 'DEM', 'EVI_cos_3', 'EVI_sin_1', 'Mean_EVI', 'Mean_NDBI', 'NDBI_cos_3', 'NDBI_sin_2', 'NDBI_sin_3', 'NDVI_cos_2', 'NDVI_sin_2', 'SLOPE', 'lrad', 'pres')",0.006970001187449442,0.004348148703850488,0.0025104048246446017,1996_1998
16,"(0, 6, 7, 11, 12, 16, 17, 22, 24, 25, 29, 32, 35, 36, 38, 42)",[0.93840761 0.95490982 0.93987976 0.94388778],0.9442712415316361,"('B1', 'B7', 'DEM', 'EVI_cos_3', 'EVI_sin_1', 'Mean_EVI', 'Mean_NDBI', 'NDBI_cos_3', 'NDBI_sin_2', 'NDBI_sin_3', 'NDVI_cos_2', 'NDVI_sin_2', 'SLOPE', 'lrad', 'pres', 'wind')",0.010357345491132474,0.006461301391697364,0.003730434097811777,1996_1998
17,"(0, 6, 7, 11, 12, 16, 17, 22, 24, 25, 29, 32, 35, 36, 37, 38, 42)",[0.94141212 0.94789579 0.93987976 0.94789579],0.9442708652156591,"('B1', 'B7', 'DEM', 'EVI_cos_3', 'EVI_sin_1', 'Mean_EVI', 'Mean_NDBI', 'NDBI_cos_3', 'NDBI_sin_2', 'NDBI_sin_3', 'NDVI_cos_2', 'NDVI_sin_2', 'SLOPE', 'lrad', 'prec', 'pres', 'wind')",0.005875228691090453,0.003665188474284669,0.0021160975522589672,1996_1998
18,"(0, 5, 6, 7, 11, 12, 16, 17, 22, 24, 25, 29, 32, 35, 36, 37, 38, 42)",[0.93990986 0.9498998  0.93987976 0.94689379],0.9441458028726456,"('B1', 'B6', 'B7', 'DEM', 'EVI_cos_3', 'EVI_sin_1', 'Mean_EVI', 'Mean_NDBI', 'NDBI_cos_3', 'NDBI_sin_2', 'NDBI_sin_3', 'NDVI_cos_2', 'NDVI_sin_2', 'SLOPE', 'lrad', 'prec', 'pres', 'wind')",0.007024012662387853,0.004381843091904451,0.002529858288657737,1996_1998
19,"(0, 5, 6, 7, 11, 12, 16, 17, 22, 24, 25, 29, 32, 34, 35, 36, 37, 38, 42)",[0.94041062 0.9493988  0.94288577 0.94739479],0.9450224936603302,"('B1', 'B6', 'B7', 'DEM', 'EVI_cos_3', 'EVI_sin_1', 'Mean_EVI', 'Mean_NDBI', 'NDBI_cos_3', 'NDBI_sin_2', 'NDBI_sin_3', 'NDVI_cos_2', 'NDVI_sin_2', 'NDVI_t', 'SLOPE', 'lrad', 'prec', 'pres', 'wind')",0.005702132751348759,0.0035572047213715584,0.002053753103446477,1996_1998
20,"(0, 5, 6, 7, 11, 12, 16, 17, 22, 24, 25, 27, 29, 32, 34, 35, 36, 37, 38, 42)",[0.94591888 0.9504008  0.93987976 0.94438878],0.9451470542487077,"('B1', 'B6', 'B7', 'DEM', 'EVI_cos_3', 'EVI_sin_1', 'Mean_EVI', 'Mean_NDBI', 'NDBI_cos_3', 'NDBI_sin_2', 'NDBI_sin_3', 'NDVI_constant', 'NDVI_cos_2', 'NDVI_sin_2', 'NDVI_t', 'SLOPE', 'lrad', 'prec', 'pres', 'wind')",0.0060254270140113406,0.003758887833232405,0.0021701949023703385,1996_1998
